channel_id,title,description,custom_url,published_at,country,thumbnail,view_count,subscriber_count,video_count,hidden_subscriber_count
UCW8zHhs15WaXEwftimepwUw,Emilly Vick Central,"Aqui você encontra um espaço cheio de alegria, criatividade e boas ideias. A Emilly compartilha vlogs, dicas do dia a dia, desafios, trends, makes, lifestyle e tudo o que inspira sua rotina.

O objetivo é divertir, motivar e criar uma comunidade onde todos se sintam parte dessa jornada. 💖

👉 Se inscreva, ative o sininho 🔔 e venha acompanhar cada nova fase dessa história.
📌 Novos vídeos todas as semanas!

GRUPO DA EMILLY VICK
https://whatsapp.com/channel/0029VbBYLMF3mFY10wfShO3l

INSTAGRAM
https://www.instagram.com/turma_do_rosasfc?igsh=MXdqMTBxNXY5b2I3Mg%3D%3D&utm_source=qr

TIK TOK
https://www.tiktok.com/@emillyvickstory?_t=ZM-8zt4E0pPb32&_r=1

",@emillyvickof.centralfc,2025-01-05T15:46:07.935505Z,BR,https://yt3.ggpht.com/4Vd0cAhfYeqFOdI9n52DIg5qt8EHOr7wD9b1_6NwpyV5A184ZnpW2MyG57tgqqGFJyOR0jQdvQ=s88-c-k-c0x00ffffff-no-rj,1328853234,1530000,7545,False
UCUo1XzYYdH7vZRK4-TdcUIQ,Flavio Brotas,"Bem-vindo ao canal Flaviobr! Acompanhe o meu dia a dia sobre duas rodas pelas ruas de São Paulo. Aqui você encontra motovlogs cheios de ação, dicas para motoboys, flagras do trânsito e a realidade da vida na moto. Busco sempre mostrar os acontecimentos da rua e incentivar o respeito e a ajuda mútua no trânsito.

Se você curte motos, adrenalina e quer ver a cidade por um ângulo diferente, seu lugar é aqui!
  

Quem quiser me apoiar através da vaquinha para pagar a moto, irei ficar muito feliz, Deus abençoe.


Pix: 11946364752

➡️ Inscreva-se agora e acelere comigo!",@flaviobrotas,2024-03-31T02:06:14.26121Z,BR,https://yt3.ggpht.com/I2FJQFpfk4Qpn5Ohc8Y_hX7kCS0GeN219u9IM0GpMZL2DyyclAkxO3KPGxzk-iWX2pQJz2Xbog=s88-c-k-c0x00ffffff-no-rj,221996882,544000,756,False
UCrWZ4a-jzE0OG6_xLxL3nfA,FRANCIELLE NOGUEIRA,"Francielle, Lincoln, Joshua, Noah e Olivia. Nossas loucuras, tretas e desafios através de vlogs feitos na nossa casa.
Tem comida, tem fofurice, tem perrengue e muita vida real.",@franciellenogueira,2012-11-29T16:49:38Z,BR,https://yt3.ggpht.com/74h9bbQGI6hORB10I7fbkgteflyqsDniy1u2X0YcV0FoY4f2FoGHq2w9T0uQ5Qvm9oEDGpzvsg=s88-c-k-c0x00ffffff-no-rj,114045624,746000,1399,False
UC92C2M8o4KUzvbwoDunBElg,Léia Veloso,"Transmitindo meu dia a dia, família, filhos, receitas, dicas em geral e muito mais. Você não pode perder! Veeem ❤️",@leiaveloso,2014-11-26T21:52:47Z,,https://yt3.ggpht.com/REC3wRIa0rtdCwfVvAGYdtRTuJ2KdXPLiVLbgMPmVBaG3PXHmqNTNC1pMezcVrkCirhc7hIZnts=s88-c-k-c0x00ffffff-no-rj,44489700,194000,816,False
UCOxFE7hvaW60zq3br-xDYxQ,Kathleen Sassaki,"✨ Vídeos todo Sábado e Shorts de quarta a domingo!!

✈️ Viajamos pelo Brasil e pelo mundo em busca de lugares incríveis, experiências únicas e comidas que valem cada mordida!
Se você ama explorar novos destinos, descobrir culturas e pegar boas dicas de viagem, esse canal é pra você. 

🎯 Se inscreve e vem viajar com a gente!
",@kathleensassaki,2010-01-12T18:47:03Z,BR,https://yt3.ggpht.com/ZIDxD6lIa6cuqvkxdIcPgjksm8lclJFk2mjRGmtPGlv0aLV0_tQfwhr1UDJ1dlKiHn1Dgxw9Xw=s88-c-k-c0x00ffffff-no-rj,4968655,16200,137,False
UC-B2Lh9k6pcnzGKQ9jg7GCA,Guilhermedodf,"Espero que gostem dos vídeos, aqui eu posto o que gosto de assistir. sigam para+",@gulhermedodf,2024-06-22T02:19:07.540553Z,,https://yt3.ggpht.com/uoCd82kpeu9_r9KUVxyOMrEeWuOj5uYxjhdXr7ky-g7K2LEHL5A__AfC7uT_FtMgE7dXkzXU=s88-c-k-c0x00ffffff-no-rj,739825149,777000,1218,False
UCaacjSy4aieUHKXvsa3s-Ew,João Adibe Marques,"


",@joaoadibemarques,2023-04-05T14:41:05.787756Z,,https://yt3.ggpht.com/4E1Zg4SWPb6wEf1zHC2U3kfQmjuUlTLByFn-QkENfU_K6sF-46twl1anILKOjwSXXvVvj6VZyQ=s88-c-k-c0x00ffffff-no-rj,87535800,178000,745,False
UC0VJYO6w_6rR9qTissTbCgQ,Lu Ferreira,"RESENHAS, VIAGEM, BEM ESTAR E GASTRONOMIA

Já conhece a Comunidade Hábitos que Abraçam? A #HABRA é um espaço onde você pode se conectar com outras pessoas e encontrar apoio, compartilhar suas experiências e construir uma vida equilibrada baseada em hábitos saudáveis. A comunidade é uma oportunidade para você que quer abraçar hábitos para uma vida melhor a cada dia. Faça parte:  
https://luferreira.substack.com/

———————
Livros que recomendo:

Hábitos Atômicos https://amzn.to/442mVQT
O que aconteceu com você? https://amzn.to/3xuWLdo
O Chamado da Coragem https://amzn.to/4ayngxk
O obstáculo é o caminho https://amzn.to/3PZlI7j
A Bailarina de Auschwitz https://amzn.to/4awPnwA
Mude Seus Horários, Mude Sua Vida https://amzn.to/442mAxB
Outlive - https://amzn.to/4cShzvs
Por que nós dormimos https://amzn.to/3vRAtSH

———————
Também estou aqui:
BLOG: www.chatadegalocha.com
INSTAGRAM: instagram.com/lutsferreira
TWITTER: twitter.com/luferreira
———————
EMAIL: luferreira@coolabdigital.com",@luferreira,2011-09-30T16:38:35Z,BR,https://yt3.ggpht.com/aGZlYxvpGgtqqTHJ7YYFzHPnQC4Dx3uRqwqY0H-fxGcHj3Rpc7AkDUzmeOQ8qJ0SVhOw8JUxfw=s88-c-k-c0x00ffffff-no-rj,186471872,1070000,1956,False
UCEnKa-FmaQcVGHxfwhux3lQ,Blog das irmãs,"No Blog das irmãs Maru e Jeru gostam de fazer vídeos divertidos, como, comendo comidas, vários 24 horas, 24 Horas Comendo, provando doces e coisas novas, vlogs e muito entretenimento para sua diversão!

Aqui você encontra muito entretenimento com desafios e vídeos engraçados para toda família assistir.

#blogdasirmas
",@blogdasirmas,2014-12-30T23:50:32Z,BR,https://yt3.ggpht.com/g5cGSktVxO85NOeWa8GYQbpbWhladuKW-vHDS0BllRQlId4PvxagQ4W7exvS1vkwdqcjzJEY3A=s88-c-k-c0x00ffffff-no-rj,804675210,2850000,2208,False
UC7CejCC7-TzSRlBPoZvKSow,Bruna Diiniiz,,@brunadiniz,2011-10-01T22:02:08Z,BR,https://yt3.ggpht.com/lQArQwFRs4KUIlemejhpoT7ZjhYAqg6-fugia5fVT-m1eI7qWVzg4g-qnls0CdOYN1jKbfzH=s88-c-k-c0x00ffffff-no-rj,96999786,686000,813,False
UCr_eFVLgbvv_DC2KUPugNsg,Lives do Jon,Este é o canal Oficial de cortes do JonVlogs,@livesdojon,2016-08-02T18:32:36Z,BR,https://yt3.ggpht.com/nkZ3naG6v9R8IubCHUJhx-2P_5pXO6tSFSzExpUVj_AJDMaGpAKAJKGwegk_cWsqo2xYdURs=s88-c-k-c0x00ffffff-no-rj,130277772,997000,1750,False
