channel_id,title,description,custom_url,published_at,country,thumbnail,view_count,subscriber_count,video_count,hidden_subscriber_count
UCr_eFVLgbvv_DC2KUPugNsg,Lives do Jon,Este é o canal Oficial de cortes do JonVlogs,@livesdojon,2016-08-02T18:32:36Z,BR,https://yt3.ggpht.com/nkZ3naG6v9R8IubCHUJhx-2P_5pXO6tSFSzExpUVj_AJDMaGpAKAJKGwegk_cWsqo2xYdURs=s88-c-k-c0x00ffffff-no-rj,130643813,998000,1754,False
UCOuWfKLGJPjQqbbEo5TZZMg,Yara e Lauren ,"Lifestyle • Família • Experiências
Mãe da Lauren💖",@yaraelauren,2023-11-05T02:10:44.061139Z,BR,https://yt3.ggpht.com/PtsnndjIj2KENrrsTWFxeb7tdZmaQJFyNPO_U9oqv51pglQPltnhp_KoZs27RNyWkcNNHC57=s88-c-k-c0x00ffffff-no-rj,872803876,1250000,944,False
UCD5gsRPb5YK0d7IHY4ZO4kw,Bruna Paula,"Seja muito bem-vinda (o), aqui você vai encontrar, um pouco da minha rotina diária, viagens, receitas e muito mais ❤️",@brunapaula,2015-06-05T15:07:07Z,BR,https://yt3.ggpht.com/jvcR0IRgZWY1k3g-88eGHl1vvfwRmNKSMMxFcJGQfbacdjg3jnYWIz69XWelrl9twY4X5ODP8g=s88-c-k-c0x00ffffff-no-rj,233579441,1060000,2392,False
UC2TJ-meIPRTn-kHfIwtmovA,Ana landim,"OI AMORES, AQUI NESTE CANAL EU MOSTRO A ROTINA MINHA E DA MINHA FAMILIA MORANDO AQUI NOS Estados Unidos",@analandim4300,2017-03-21T15:31:15Z,,https://yt3.ggpht.com/4qYMC2ye9PmaaPGa2LnoowYHOq5YSb0Z4yU-4MK6MUIjVuqlZtj5EL9tomikLzBWUlEoyWpDBng=s88-c-k-c0x00ffffff-no-rj,179453229,887000,2544,False
UCQZB5BNGuqSFv29RTzggn_A,Larissa Suchodolak,"A menina do RU da UTFPR
Seja bem vindo ao meu mundo de comilança ❤️ 
",@larisuchodolak,2023-07-03T14:29:43.540552Z,,https://yt3.ggpht.com/qBRfM57l49UOCz-C4y4mKAJFH5gNGyciJo-44HsNVagLLXqH2TK1lJsNg16Nt4dyqHCx6sMXeg=s88-c-k-c0x00ffffff-no-rj,816176541,1200000,1080,False
UCW8zHhs15WaXEwftimepwUw,Emilly Vick Central,"Aqui você encontra um espaço cheio de alegria, criatividade e boas ideias. A Emilly compartilha vlogs, dicas do dia a dia, desafios, trends, makes, lifestyle e tudo o que inspira sua rotina.

O objetivo é divertir, motivar e criar uma comunidade onde todos se sintam parte dessa jornada. 💖

👉 Se inscreva, ative o sininho 🔔 e venha acompanhar cada nova fase dessa história.
📌 Novos vídeos todas as semanas!

GRUPO DA EMILLY VICK
https://whatsapp.com/channel/0029VbBYLMF3mFY10wfShO3l

INSTAGRAM
https://www.instagram.com/turma_do_rosasfc?igsh=MXdqMTBxNXY5b2I3Mg%3D%3D&utm_source=qr

TIK TOK
https://www.tiktok.com/@emillyvickstory?_t=ZM-8zt4E0pPb32&_r=1

",@emillyvickof.centralfc,2025-01-05T15:46:07.935505Z,BR,https://yt3.ggpht.com/4Vd0cAhfYeqFOdI9n52DIg5qt8EHOr7wD9b1_6NwpyV5A184ZnpW2MyG57tgqqGFJyOR0jQdvQ=s88-c-k-c0x00ffffff-no-rj,1370731985,1560000,7701,False
UCBYNi7pdj3v6XvjC7o3qr_Q,Lar da Ana 👩‍👦,"Oioiii gente 💖 Sou a Ana uma jovem sonhadora de 22 anos !Moro no noroeste do Paraná 🫶🏻
Sonho em dar uma vida boa para meu filho que tem 5 anos e se chama Nicollas 💖
E agora nossa nova princesa de 1 aninho 
Venha fazer parte da minha rotina te espero com carinho 🙌🥰",@lardaana,2020-06-08T01:37:13.957678Z,BR,https://yt3.ggpht.com/544wPCtU6BEc0x4-tj9eXHH-fwGJ5ZMWlNg7JB1GGZy1YeFQj-CahzSjseJc2P-3mtGgKXd35g=s88-c-k-c0x00ffffff-no-rj,38513494,242000,597,False
UCRrlzX_wtvYj4JHFd7SLzfw,Clipadas do Bonde do Jon,,@clipadasdobdj,2023-07-01T01:52:24.427293Z,,https://yt3.ggpht.com/ExpDpD4xW6sCYh47-8UJKUEd9poztZv--0yInP4fxf4dnRD8OgnoH5VWLsgMgHXI-KQa-_ybLQ=s88-c-k-c0x00ffffff-no-rj,60404731,47900,3277,False
UCn5wNgpDW_f6Hb_6azqmj9w,SEGREDOS DA MA,"Olá, por aqui compartilho com vocês nossa vida nos EUA, meu trabalho com dicas de limpeza e produtos que usamos aqui no EUA, vlogs do nosso dia a dia e muito mais!🏡🧽🧹🥰

Esperamos que gostem 😁, se não for inscrito se inscreva, deixe seu like pra nos ajudar a crescer e compartilhe com seus amigos!


",@segredosdama,2013-07-04T20:49:36Z,US,https://yt3.ggpht.com/aD2JzX7y5zjtSutBd7GHtat-6paLBW2Tsy1BHEyATXdYoMJHd4r0y3isn1QRkzGQbm5nYLP9=s88-c-k-c0x00ffffff-no-rj,248942573,668000,1508,False
UCl8Hkl1rdKCPyGnjrbwzRrw,motoboydoamor071,,@motoboydoamor071,2025-07-19T04:18:31.464006Z,,https://yt3.ggpht.com/TPGztiSOAjao4Y4cHd1hiqEXtZq2NfH-V7NGqbVtuM2ybJejpBd6HwBRbLGm87wi_8pDlrkIFw=s88-c-k-c0x00ffffff-no-rj,6517697,20700,22,False
