channel_id,title,description,custom_url,published_at,country,thumbnail,view_count,subscriber_count,video_count,hidden_subscriber_count
UCXpeLZiO6cYnDPbvJtGkymA,ZTHShorts,"⚽️ | We Help You Become A Standout and Sign Pro
🚀 | Helped 4900 Players So Far…
JOIN THE WAITLIST ⬇️
",@zthshorts,2023-05-08T07:37:07.299924Z,,https://yt3.ggpht.com/erDjTuKXZCSH9EVErVlT0XHVZEs0lXCFGjDaPBsVWm0KoyM2Z0i_uRmb1yuweBLFcflKeNO6-A=s88-c-k-c0x00ffffff-no-rj,742247755,863000,926,False
UCKf9_SBioF8T2ezi8WJ5u4g,WIN Reality,The Next-Generation Baseball & Softball Training Platform That Makes Getting To Your Next Level Fast and Fun. #baseballuncaged,@winreality,2020-01-10T19:51:27.81354Z,US,https://yt3.ggpht.com/ytc/AIdro_k2v5eZCs3PlZY0cYfX_N2M0boXGd3KtNWDaqskrXT80ZI=s88-c-k-c0x00ffffff-no-rj,112886842,45500,1359,False
UChwN_alaTeV9mnndL8plp9A,Trash Tier,"Welcome to Trash Tier — where we rank the ridiculous, roast the bizarre, and break down the internet’s weirdest moments.

From epic fails to brain-dead inventions, nothing’s safe from getting trashed (or treasured).

🔥 New shorts every week
🗑️ Opinions are unfiltered
🎯 Content is fast, fun, and straight to the point

Hit subscribe — or get ranked F-tier.

🚨 For copyright concerns, credit requests, inquiries, or content removal, please contact:
rysxalt@gmail.com

📜 I dedicate countless hours to making sure all my videos are transformative, with original commentary and creative edits that bring fresh value beyond the original content.

",@trashtierlol,2025-06-08T19:07:15.200101Z,,https://yt3.ggpht.com/4bzhAJPLLIqq2IhYnGjwZiP3YU6PGmowHFgshrGnwilRgWJ8Pdde28tEaobsua1l0tVrt3uc3Q=s88-c-k-c0x00ffffff-no-rj,290302834,185000,120,False
UCFmgp2_vGVxTYwjmPdFzsmQ,A7 EDITZ,The World Cup arc🏆,@a7_3ditz,2020-09-27T09:12:53.785552Z,US,https://yt3.ggpht.com/71rTQZtO_v-G_9yQ_YDM_zJebiDIevqLf7mAobrnzJDbGZ-bGOE2CNxXKYesdJNtEpbaIlrHeg=s88-c-k-c0x00ffffff-no-rj,2428727818,1940000,989,False
UCGsEzocQyFsSz826d532E3A,Georgio Poullas,Take me down get $1000 🤼‍♂️,@thekidgeorgio,2015-09-29T19:21:39Z,US,https://yt3.ggpht.com/hetTn4H56peteg46OSUapG2uKowtDyb890JwNLPyEuWZiMXVMjwAoqV-PkxnsWVWw8-Jh5D_wQ=s88-c-k-c0x00ffffff-no-rj,148359654,195000,862,False
UC6WP1jAJbF-jzDs1PonYQLw,ColdDigs,"Not all cold cases stay buried forever...
",@colddigs,2023-09-26T22:05:20.377111Z,US,https://yt3.ggpht.com/Df99cNFRk3ZYDgoDY3PYL72ypCN5Vzz7BId1PzGdSPfHyxs6WlYioopk5tJ1SJjLZEHGaYPONg=s88-c-k-c0x00ffffff-no-rj,55155261,20800,70,False
UCQEVBrDDY6s0rB9W26jLm6Q,Mirror Thinks,"Hi, welcome to my channel!🤎

I showcase the most unique dishes and recipes you will ever see!

📮Contact: casualhomecookbiz@gmail.com

Each video is carefully created with original narration, intentional editing, and creative storytelling that adds fresh meaning to every moment.
",@mirrorthinks,2023-11-18T13:07:03.588153Z,CA,https://yt3.ggpht.com/X7j_yEDDSCxs33qHnlzCD2EvZMdCs7Fg6DLN1i9TO-GKE6DV7g1s8oW1YpS38niQJ1f9FO8yEQ=s88-c-k-c0x00ffffff-no-rj,835043148,491000,466,False
UCET00YnetHT7tOpu12v8jxg,CBS Sports Golazo,"Welcome to the home of the world’s game 🔥

Serie A, NWSL, Concacaf Nations League, EFL, Europa League, Conference League, and of course… 🎶 THE CHAAAMPIONSSS 🎶—all the biggest moments, all in one place.

Join us for highlights, analysis, and nonstop ⚽️ coverage. 

Watch it all on Paramount+ 🍿
",@cbssportsgolazo,2020-06-26T17:51:20.684238Z,US,https://yt3.ggpht.com/YGHhK_6Q5Lll7Y7K9o1BKx8Ugb4OU21hyTziSRIfUxMj3GMcCrp9fIN6HQ3418vwuaP2f_SERIY=s88-c-k-c0x00ffffff-no-rj,3844958008,2950000,14271,False
UCbxEdLY1sWJU5OOoWLKXMuw,DoomSight,"From split-second moments captured on dashcams to high-intensity encounters recorded on bodycams, along with unexpected doorbell footage, home security clips, and raw, unpredictable situations that grab your attention instantly.



REACH OUT
moxabateman@gmail.com



CONTENT REMOVAL
If you are featured and would like a video reviewed for possible removal, please reach out to us at moxabateman@gmail.com We will carefully review your request and respond as promptly as we can.",@doom_sight,2014-11-17T12:55:55Z,,https://yt3.ggpht.com/GgmtM7m-Dqid6Uo9rD49I6GDDLbF0q1L1pStX93f9PMxvm8EH-wAAeowtivk3xLcKPi2braQSA=s88-c-k-c0x00ffffff-no-rj,57761441,16600,21,False
UCEDIJP_CH6Onk5bXsfUs0iQ,Cam 23,"Baseball content all year long. ⚾️ Founder of the ""INSANE Prime"" series. Content creator since 2018
",@cam23,2013-07-16T22:58:12Z,US,https://yt3.ggpht.com/7usq5A0FANcTgEsz2ffq61ooNgLn01IamnzcUTjJ5iYb2zCzw2RZ-VigV5Qm2y0LZPu-JhVBTg=s88-c-k-c0x00ffffff-no-rj,1189747441,117000,4508,False
UC_AAm1jfLK--6kwusL-pDsQ,HangTime College,"Subscribe for Daily College Comedy, Parody Videos, and Memes 💯",@hangtimecollege,2022-07-06T13:40:46.942476Z,,https://yt3.ggpht.com/8ooXU5DEhBlW-vW2eLtkzhAk0WbmeY6_Ki7TXCp-E3ptpHRXPBvytOT9bExv8GHYC0VUXdMC5A=s88-c-k-c0x00ffffff-no-rj,334943467,60400,2207,False
UCJO1W041XN6rLTD2Pe38n_g,You_Ranking,"Welcome to You_Ranking!﻿

From interesting facts to surprising moments, meet new ranking videos every day.﻿

To add editing and value to all videos, I watch videos, do searches, and do more than 3 hours of editing every day.﻿

✨ Value Addition and Transformation
All my videos are made so that viewers can be more immersed and enjoy. By adding relatable subtitles and witty edits, they are reborn not as simple videos, but as content with new fun through my own unique structure, humor, and visual effects. Not simple reuse, but through creative reinterpretation, every moment is made new!

⚖️ Fair Use Notice﻿
All content is produced according to the 'fair use' principle specified in Section 107 of the 1976 Copyright Law of the United States. This law permits the use of copyrighted material for purposes such as criticism, comment, news reporting, teaching, and research.

📍If there is a problem with the video, please contact us at the email below.﻿
",@you_ranking,2025-09-19T13:22:03.965677Z,US,https://yt3.ggpht.com/dbvZrqD7x6y1VgUvY9rIMU6GdOtkUjkTowJ3TJYDtz4j6gqXsFJKXvORi0FDcuS-pNK7yZXXZQ=s88-c-k-c0x00ffffff-no-rj,2657109814,1070000,217,False
UCDGIW-JtpB2rBiGliP-xrQw,KeDHD,"be patient
",@kedhd,2015-01-27T13:03:37Z,US,https://yt3.ggpht.com/ytc/AIdro_nC90NeWEwha_6lVJ01OJxOY69g2W2tmsHI2EIYXlSIXBE=s88-c-k-c0x00ffffff-no-rj,28108490,77300,47,False
UCpejmzf5hYcckscyg79JeLQ,Ev Hand,"🏈 Covering Sports Stories You Actually Care About
🔍 Forgotten History & Unbelievable Stories
👇🏼 Get Paid to Watch Sports👇🏼
",@evhandd,2023-01-20T20:50:48.099568Z,US,https://yt3.ggpht.com/_vqOEp-48Vg94vZq7A4ZgC9JzJ8gLdntZeE-SvHZnmB2bX2-bTosM2Fa2rG2HpO1wHo0G2NKSFM=s88-c-k-c0x00ffffff-no-rj,89722584,82000,1071,False
UCS4IPh92mxyc4tTLkfYtVbA,podcenral,support a youngins hustle n subscribe 🙏 ,@podcenral,2023-09-29T04:11:57.316868Z,,https://yt3.ggpht.com/8yjsoNc-10jOAfZ0_2c6-XAILWtKM2rywHF_x5ASP-1mIZoOUTiclFxLHa5M2aq_k--m_RNc4g=s88-c-k-c0x00ffffff-no-rj,505326306,109000,777,False
UCoLrcjPV5PbUrUyXq5mjc_A,MLB,,@mlb,2005-12-25T18:02:22Z,,https://yt3.ggpht.com/658nhCATwPt-TNMhFEaP0GY-jvLKK0ASvQuC7X8uSdodwus8NxTJWVFUsobIg5sf34sP3MWBbVg=s88-c-k-c0x00ffffff-no-rj,7821535330,7240000,310368,False
UCIBJINNTKXHp7fkfpJqcpjw,The Warehouse Games,,@warehousegames,2021-12-30T21:22:17.3793Z,,https://yt3.ggpht.com/dOoZ1giaG25COnt1KnGSavVtKjZWsZzxhqh9Lmj2M09qLT8qYzG-pzp2hmgHs7EGayTwHAuysQ=s88-c-k-c0x00ffffff-no-rj,249156929,347000,1925,False
UCyagEfIN1okQ-s996XAqCFQ,Zhong,"Hi! My name is Zhong! Nice TO MEET YOU!
for business email : collab@teamzhong.com
Instagram @zhong",@zhong,2015-01-19T18:17:39Z,US,https://yt3.ggpht.com/FKuNOzSM4kV6WgdJK4iJ7mqCJmONtUbY_b52vskqQUYe7kjUB8iUeVMn8lLMzAO8z_YSDm4L=s88-c-k-c0x00ffffff-no-rj,24137174738,72100000,2383,False
UCMwBvbthe5zxU_hAsE2FkaQ,Sportcake,"I create bite-sized shorts explaining the greatest moments in sports!

Contact me at:
sportcakereal@gmail.com
(Looking for an Editor)

Content Usage:
All content is edited under fair use with transformative intent. All clips belong to their respective owners. My goal is to share awesome and interesting moments in sports history through my videos. All my videos contain original commentary, and I highly transformative use of clips, with different pacing, visuals, and audio created by my editing and effects.

Thank you for your time and support! ❤️",@sportcake,2022-10-20T08:04:54.488961Z,US,https://yt3.ggpht.com/_27i3lLJYkUE4kD9Rjslz1qMYAS1z9j23XFLtmfQ0DKJ_rRDJR_zjveiFWHbYE5hsb5d3cA6=s88-c-k-c0x00ffffff-no-rj,39247711,43800,8,False
UCIuX1eVHXhhltyARtScdfmA,Skelly,"Football Content At Its Best

",@livingskelly,2021-06-07T11:40:05.511061Z,PK,https://yt3.ggpht.com/40lJ_Pb24clPqGoEhdlAItAZ2AWHMpD-Pqc7xKiGWu2mxXGHNX4nWFRr0k9wBgEh9jF_ub1p77w=s88-c-k-c0x00ffffff-no-rj,930391590,827000,654,False
