channel_id,title,description,custom_url,published_at,country,thumbnail,view_count,subscriber_count,video_count,hidden_subscriber_count
UCvyuoJQWxHWbswTSGxGA71w,Universo Labz,Meu nome é Rafael! Desvendando segredos do mundo. Canal de curiosidades e entretenimento.,@universo_labz,2020-12-22T01:11:56.466386Z,BR,https://yt3.ggpht.com/GwDCfTdggM-nNH4AbyGyrG_JL6kSyTKgFr1Ec0daYri6IwQbvJYr2Hw7Bw0UOQn-ee262GDE884=s88-c-k-c0x00ffffff-no-rj,3086100961,3120000,261,False
UC4FDC9JeTThKTa3suuzPu1Q,兔子小警官,,@兔子小警官,2026-05-13T04:31:10.789991Z,HK,https://yt3.ggpht.com/KH0jWe4er-FJ-dVt8_3iOf0oEe7eYQ195LPB3zAc9sW7Mw2O4p76ERCtmta__ts6xCYlP1ak6w=s88-c-k-c0x00ffffff-no-rj,143113711,279000,65,False
UCBvqyyzobkfklObdORcHWBg,Isabelle Dutra (Ibelledutra),"YAAAAAY!
Bem vindo ao meu canal! 
Eu sou Isabelle Dutra e faço pov, vlogs, trolagens e MUITA diversão para vocês.
MEU CANAL SÓ DE POVS: https://www.youtube.com/channel/UC6bGzj7XRdNfvIdCFrLItAw
",@ibelledutra,2018-12-25T12:10:57Z,,https://yt3.ggpht.com/gyY4x6twbfewmM5N3ZrnpAT4z4J09_gqa3J_5EF5TvmTEm3JXTwOq_A-c-wye_buUXjR-kg2=s88-c-k-c0x00ffffff-no-rj,6302323358,6090000,7976,False
UCIjbItKxKeZYeTfDnwuHBTA,Nykolas e Letícia,"HUMOR DE CASAL • DESAFIOS

📅 2 Shorts TODO DIA (11 h e 18 h)
🎥 Vídeo completão TODO DOMINGO às 17 h

▶️ Se inscreve, ativa o 🔔 e vem rir com a gente!

🌎 +4 MI no TikTok | +440 K no Insta
🤝 Marcas que querem aparecer aqui:
comercialnykolasteles@gmail.com ou DM @nykolasteles",@nyckelet,2023-11-04T00:22:30.816956Z,,https://yt3.ggpht.com/_wigcP5Xfdzh42utn8P4j47YSmYieMgjl5Q-3BtL0k0gpF7nmUmHqf8ZJov4NYKU8birMb9oEg=s88-c-k-c0x00ffffff-no-rj,427955640,794000,623,False
UCWxGghAvc6Nnu381Qq64ovQ,A ruiva da roça / Fabio Castro,"Temos mais de 20 Milhões de seguidores em todas as nossas redes sociais 🚀
Me segue no Instagram♥️Maria Ruiva da Roça 
Shorts Todos os dias 🙏🏻
★ CASADOS
★ Mineiros.
★ Pequenos produtores rurais
★ Mãe e pai do Davi
★ CRIADORES DE CONTEÚDO
🙏😂 

(Vida simples e feliz na roça)",@mariaruivadaroca,2017-05-14T21:40:47Z,,https://yt3.ggpht.com/R3574qC6F_tE8rNT_BEM2y2r_JBJQ6YYDfjJGWm188_G1xy6tTTSg6FUjIO8LuJX9Js22fKObQ=s88-c-k-c0x00ffffff-no-rj,5091531580,5350000,1517,False
UCnqH0rSsoaONTBqcs_uuQqA,Guizin Santos,"Salveeee, guileraaaa!!!🙉 Sejam todos bem vindos😉🙏🏽❤️",@guizinsaantos,2023-03-20T22:26:06.555544Z,,https://yt3.ggpht.com/vpkPK7Z8qJujdCKXq7Mo7Dw0s_pU5Uw1-OUnyNofdRbw_1M-yz4crjLzkSVWm8weoaaMChP6=s88-c-k-c0x00ffffff-no-rj,1112396234,1980000,675,False
UCZ1XDJ1-gnSAI4IrubAgdow,sammy e rafael,conta oficial ,@sammybento-u1d,2025-06-26T17:24:29.608884Z,,https://yt3.ggpht.com/oKlI3c2DMRs6608FIib4Hd8sATRx0YffQfIrQ9aZj9G2Xq0CKkR5R3n-EhA7XIW8JQgaOJWr=s88-c-k-c0x00ffffff-no-rj,65888014,59200,151,False
UCeX71Zy5GQoMO3vseiKrhUQ,Daniel Gontijo,"Vai desculpando as piadas ruins 🥲

Meu nome é Daniel e tô aqui pra deixar o seu dia mais feliz com meus vídeos engraçados! (pelo menos minha mãe diz que é)

Contato profissional:
ogontijodaniel@gmail.com",@odanielgontijo,2021-01-30T20:09:43.432314Z,BR,https://yt3.ggpht.com/uFgspXjiQcr7f237Tq1-zF_88VqvpBngSbD-YMVxW-S0MpItgqpz9ACT5txZhNiKSARC300BqLk=s88-c-k-c0x00ffffff-no-rj,4048296961,4580000,2083,False
UC-JzyQ0uiRlCw1m5tqL6oJg,Sergio Zeferino,sergiozeferinoalves@gmail.comhttps://www.youtube.com/@SergioZeferino-alve sergiozeferinoalves@gmail.com https://www.youtube.com/@SergioZeferino-alve,@sergiozeferino-alve,2026-01-29T22:09:15.63153Z,BR,https://yt3.ggpht.com/vU4P-U_9fqogth4KIwjhjF4C4ntL4qLsgZks32p4iha65KiyL7UAIVPMjmWLjApV5V8pHYz41g=s88-c-k-c0x00ffffff-no-rj,23235652,28200,529,False
UCN11FeIyf0rEMxKOJM9N_xw,NextlevelDJ | O moço do Te Amo,"💸 Transformo dias comuns em prêmios em dinheiro e momentos inesquecíveis.

Eu sou o Moço do Te Amo e minha missão é simples: sair às ruas, desafiar estranhos e recompensar a coragem. Se você gosta de ver a sorte virando o jogo, reações genuínas e experimentos sociais que testam a humanidade, esse é o seu lugar.

O que rola aqui:
🚀 Desafios Valendo PIX
🎁 ""Comprou, Ganhou""
🧠 Quizzes de Rua

👇 Quer participar da próxima? Se inscreve e ativa o sino!

📩 Parcerias: ilan@play9.com.br
",@nextleveldj1,2022-01-02T15:45:06.650674Z,BR,https://yt3.ggpht.com/RZeKGRTecb9tB-GDA-11EFtUhwvo1vaS7mtumDe6akEnMyDUSb7mLTNhIg0JipLzLZRe53odjw=s88-c-k-c0x00ffffff-no-rj,2414810584,6730000,1533,False
