channel_id,title,description,custom_url,published_at,country,thumbnail,view_count,subscriber_count,video_count,hidden_subscriber_count
UCyZ4IStyXcaQwx7Xgl3TmWA,lana ♡,"for the girls only 🧸

i'm a 24 year old girl from canada that spends almost all of her time alone, and loves it. this channel was made to document my solo journey and bring comfort to people living the same kind of journey!

📧 business inquires ONLY: lanaaisaa@gmail.com
do not send personal emails
",@lanaserenelife,2025-09-12T23:45:44.641649Z,,https://yt3.ggpht.com/9Utu6JI4hVLo44NRIXkfW5tCtIjzKQ7mGQk0LOlykE6Qfhm6o7_ofKpUfPNq5_tEW2VrsflqHQ=s88-c-k-c0x00ffffff-no-rj,32824725,108000,161,False
UCDy-dFyhXDV_7B8oHKSrneQ,THRASHIN SUPPLY,"Founded by X Games Gold Medalist Lance Coury, Thrashin Supply is a group of motorcycle riders that designs and manufactures motorcycle parts and accessories primarily for the Harley-Davidson rider. Established in 2014. 

Learn more at ThrashinSupply.com
",@thrashin,2015-01-06T15:09:50Z,US,https://yt3.ggpht.com/heGrArA1q9PuqA5Kulg24hLKbpzE5wnbvzbO7lzEV3Mnm0GZZ5zH07ieWAHmuAE-Idz6Og97wA=s88-c-k-c0x00ffffff-no-rj,40532397,151000,482,False
UCjniKviAJH0mENoLStpQXmQ,Joe Blogs,"Joe Blogs videos can be summed up in 3 words - INFORMATION, EXPLANATION & UNDERSTANDING. 

My mission is to provide videos that are HONEST and EASY TO UNDERSTAND using FACTS to help improve your knowledge, get you thinking and to make your life better. 

I produce content that I would want to watch and hopefully you will too. 

Please SUBSCRIBE.

If you would like to buy me a coffee please click the link below. THANK YOU it is very much appreciated. 

https://www.buymeacoffee.com/JoeBlogs

*PLEASE NOTE*
I AM NOT looking for any help with editing, thumbnails or anything to do with producing my videos so please do not waste your time sending me emails about this as I will not respond. 
",@joeblogs,2020-10-07T10:37:36.900403Z,GB,https://yt3.ggpht.com/dbfkdEEwAIbsjybu_gC0syYFgd3JhH4ikVP52oqZqm8ExDjDiENV6XxBJwxXgEiUqOyDU58XlHA=s88-c-k-c0x00ffffff-no-rj,161212552,465000,1611,False
UCi3OE-aN09WOcN9d2stCvPg,charli d'amelio,"hi, i’m charli",@charlidamelio,2015-11-22T22:14:48Z,US,https://yt3.ggpht.com/AW9dmIR1JVhyfl1svGfKxlOXrdlY8VQMZZ2eZXBwo8z40zvy540jUh2m53LOPlsU-XVAkJ7dtw=s88-c-k-c0x00ffffff-no-rj,407900441,8940000,556,False
UCiTHbmAiRSsYTK9BRmWsMsA,Nicki Positano,Daily life split between the Amalfi Coast and Tuscany,@nickipositano,2006-05-08T20:07:20Z,IT,https://yt3.ggpht.com/ytc/AIdro_nHvZkSd9vLcGyZlyCubzR6aQFN_GXEevy_i0wdvuo6_dLw=s88-c-k-c0x00ffffff-no-rj,64687308,235000,705,False
UCGuL-e-ka0avJT35zFk0o5Q,tiffanythinks,"My Cancer Journey - if you enjoy my videos, please SUBSCRIBE and join my loving Tiffanythinks Family
Business Enquiries: tiffanythinks.business@gmail.com
Instagram and Facebook: @Tiffanythinks

Jeremiah 29:11 - ""For I know the plans I have for you,"" declares the Lord, ""plans to prosper you and not to harm you, plans to give you hope and a future.""

Tiffany
WE GOT THIS
I love my Tiffanythinks Family SO much
xxx",@tiffanythinks,2012-09-23T19:23:22Z,,https://yt3.ggpht.com/ytc/AIdro_m3JBLSeU0IbrfS8PCxT4GqCI4HSTf_RcG_AMMXAKah-60=s88-c-k-c0x00ffffff-no-rj,59595174,120000,738,False
UCOxpcQ7KtZc7fd0jhnWS0Sg,Max Roving,"Travelling to places most people wouldn't go. 
Currently cycling around the world.",@maxroving,2019-04-01T09:40:57Z,,https://yt3.ggpht.com/8jBZjhIErOVcZtHxrhhKf8wzzDVme1kLMWJMb7rgRH0oHpimM18ZJGKnRKZSPjWBWwPtjOmIXw=s88-c-k-c0x00ffffff-no-rj,16188904,165000,73,False
UCWq4rBWfctWP0duZwofs61w,The Indie Projects,"Welcome to our channel! I’m Theo and together with my cats Ginjey Bear, Furrnando & Baby, as well as our flock of chickens and small herd of goats (and a lil Leopard gecko named Lenny) we live on a homestead in the mountains of Portugal!

Thanks for checking out my channel and be sure to subscribe so you never miss a video!",@theindieprojects,2014-08-08T07:50:30Z,GB,https://yt3.ggpht.com/ijnGqbaE5B6XCs4CqeHqxzEkUBmckC9epRi64_EjAXLzGBpwha0whoGFaT9CTgtLWXaetk7C3Q=s88-c-k-c0x00ffffff-no-rj,79785606,353000,696,False
UC03t5h5oMMbP2fWrNliDdUQ,Allison Kuch,"Welcome to my channel! My name is Allison Kuch - I love showing my crazy lifestyle. I’m a dog mom & professional mover (thanks to the NFL).

Inquiries on Partnerships, please email 
AllisonKuch.Collabs@gmail.com",@alllisonkuch,2012-03-04T22:04:41Z,US,https://yt3.ggpht.com/ytc/AIdro_lkgntH1VWgx_bAEmE8m7IXMFtoveG6RsXsJS0LkqmBBKN0=s88-c-k-c0x00ffffff-no-rj,226433347,245000,2556,False
UCxVEsOhpjLTRKNUSA8e0mfA,"XO, MaCenna Vlogs","Welcome to XO MaCenna Vlogs, my behind-the-scenes channel where I share my life beyond DIY. I’m MaCenna Lee— home creator, DIYer and founder of the home décor brand Auden Lueur. Here you’ll find daily life updates, home vlogs, second-hand shopping adventures, and the real moments in between big projects. It’s a more personal look at my world, from sourcing vintage treasures to managing renovations, running my brand, and everything in between. Subscribe to not miss a video! xo, macenna

Join Misfits Market (code XOMACENNA20) https://bit.ly/XOMACENNA20 

My Main Channel: https://www.youtube.com/xomacenna
Blog: https://www.xomacenna.com/

For Business Inquiries: xomacenna@select.co",@xomacennavlogs,2019-05-06T23:10:28Z,US,https://yt3.ggpht.com/s1P067N7SEMQ6ZKFWh2Rr2qd_e8ujeBagpwePZQVUMIUS0NqBKFr-KNlxQaCOdGYETn5yUoH=s88-c-k-c0x00ffffff-no-rj,96415672,264000,580,False
